command_id,toolbar_no,toolbar_name,shortcut_no,shortcut_name,category,shortcut_key,is_sub_command,shortcut_available,collect_target,verified,status_pattern_count,collector_finished,collector_checked,state_pattern_created,button_created,remarks,command_kind,idCommand
C001,1,線,2,線,作図,H,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32771
C002,2,矩形,3,矩形,作図,B,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32772
C003,3,円弧,4,円弧,作図,E,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32773
C004,4,文字,5,文字,作図,A,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32806
C005,5,寸法,7,寸法,作図,S,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32847
C006,6,2線,8,2線,作図,W,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,ツールバー名は「2線」,メイン,32892
C007,7,中心線,9,中心線,作図,I,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32873
C008,8,連続線,10,連続線,作図,L,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32883
C009,9,AUTO,1,AUTO,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名はAUTOモード,メイン,32915
C010,10,点,6,点,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32785
C011,11,接線,18,接線,作図,O,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,ツールバー名は「接線」,メイン,32870
C012,12,接円,19,接円,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,ツールバー名は「接円」,メイン,32872
C013,13,ハッチ,35,ﾊｯﾁ,作図,X,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名はハッチ,メイン,32874
C014,14,建平,20,建具平面,作図,J,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は建具平面,ファイル操作,32848
C015,15,建断,21,断面,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は建具断面,ファイル操作,32866
C016,16,建立,22,立面,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は建具立面,ファイル操作,32865
C017,17,多角形,23,多角形,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32894
C018,18,ソリッド,43,ソリッド,作図,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー内未掲載（ツールバー実測）,メイン,32965
C019,19,曲線,24,曲線,作図,K,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32908
C020,20,範囲,33,範囲選択,編集,Y,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は範囲選択,メイン,32787
C021,21,複線,11,複線,編集,F,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は複線,メイン,32800
C022,22,コーナー,12,ｺｰﾅｰ,編集,V,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名はコーナー処理,メイン,32786
C023,23,伸縮,13,伸縮,編集,T,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32791
C024,24,面取,14,面取,編集,R,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32859
C025,25,消去,15,消去,編集,D,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー表記は消去、キーはDEL,メイン,32794
C026,26,複写,16,複写,編集,C,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は図形複写,メイン,32804
C027,27,移動,17,移動,編集,M,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は図形移動,メイン,32918
C028,28,戻る,28,戻る,編集,N,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,グレーアウト（Ctrl+Z表記あり）,サブ,57643
C029,29,進む,29,進む,編集,P,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,グレーアウト（Ctrl+Y表記あり）,サブ,57644
C030,30,包絡,25,包絡,編集,Q,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は包絡処理,メイン,32846
C031,31,分割,26,分割,編集,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,メイン,32867
C032,32,整理,36,ﾃﾞｰﾀ整理,編集,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名はデータ整理、チェックあり,メイン,32910
C033,33,属変,42,属性変更,編集,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,メニュー名は属性変更,メイン,32952
C034,34,Bk化,,ブロック化,編集,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,shortcut_noなし,ブロック,32853
C035,35,Bk解,,ブロック解除,編集,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,shortcut_noなし,ブロック,32909
C036,36,Bk属,,ブロック属性,編集,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,shortcut_noなし,ブロック,32970
